Wonderware OPC UA Client 2014 P01,Windows 8 Professional
Avantis PRiSM Client 2018 R1,Windows 8 Professional
Citect Historian 2016,Windows 8 Professional
Citect Historian 2016,Windows 8 Professional x64
Avantis PRiSM Client 2018 R1,Windows 8 Professional x64
Wonderware OPC UA Client 2014 P01,Windows 8 Professional x64
Avantis PRiSM Client 2018 R1,Windows 8
Citect Historian 2016,Windows 8 x64
Avantis PRiSM Client 2018 R1,Windows 8 x64
Citect SCADA 2018,Windows 8 x64
Citect SCADA 2018 R2,Windows 8 x64
Avantis PRiSM Client 2018 R1,Windows 8 SP1
Citect Historian 2016,Windows 8 SP1
Citect SCADA 2016,Windows 8 SP1
Citect Historian 2016,Windows 8
Citect SCADA 2016,Windows 8 SP1 x64
Citect Historian 2016,Windows 8 SP1 x64
Avantis PRiSM Client 2018 R1,Windows 8 SP1 x64
Citect SCADA 2018 R2,Windows 8 SP1 x64
Citect SCADA 2018,Windows 8 SP1 x64
Wonderware OPC UA Client 2014 P01,Windows 8.1 Enterprise
Ampla Operations Management 2018 R1,Windows 8.1 Enterprise
Ampla Operations Management 2018 R2,Windows 8.1 Enterprise
Avantis PRiSM Client 2018 R1,Windows 8.1 Enterprise
Wonderware Insight Publisher 4.0,Windows 8.1 Enterprise
Citect Historian 2016,Windows 8.1 Enterprise
SIMSCI DYNSIM 5.3.2,Windows 8.1 Enterprise
SIMSCI DYNSIM 5.3,Windows 8.1 Enterprise
SIMSCI DYNSIM 5.3.1,Windows 8.1 Enterprise
SIMSCI DYNSIM 5.3.1,Windows 8.1 Enterprise x64
SIMSCI DYNSIM 5.3,Windows 8.1 Enterprise x64
SIMSCI DYNSIM 5.3.2,Windows 8.1 Enterprise x64
Citect Historian 2016,Windows 8.1 Enterprise x64
Avantis PRiSM Client 2018 R1,Windows 8.1 Enterprise x64
Wonderware Insight Publisher 4.0,Windows 8.1 Enterprise x64
Ampla Operations Management 2018 R2,Windows 8.1 Enterprise x64
Ampla Operations Management 2018 R1,Windows 8.1 Enterprise x64
Wonderware OPC UA Client 2014 P01,Windows 8.1 Enterprise x64
Wonderware OPC UA Client 2014 P01,Windows 8.1 Professional
Wonderware Insight Publisher 4.0,Windows 8.1 Professional
Avantis PRiSM Client 2018 R1,Windows 8.1 Professional
Citect Historian 2016,Windows 8.1 Professional
Citect Historian 2016,Windows 8.1 Professional x64
Avantis PRiSM Client 2018 R1,Windows 8.1 Professional x64
Wonderware Insight Publisher 4.0,Windows 8.1 Professional x64
Wonderware OPC UA Client 2014 P01,Windows 8.1 Professional x64
Citect Anywhere V1.0,Windows 8.1
Avantis PRiSM Client 2018 R1,Windows 8.1
Citect Historian 2016,Windows 8.1
Citect SCADA 2018,Windows 8.1 x64
Citect SCADA 2016,Windows 8.1
Citect SCADA 2016,Windows 8.1 x64
Citect Historian 2016,Windows 8.1 x64
Avantis PRiSM Client 2018 R1,Windows 8.1 x64
Citect SCADA 2018 R2,Windows 8.1 x64
SIMSCI DYNSIM 5.1,Windows Vista Business SP1 x64
SIMSCI DYNSIM 5.1,Windows Vista Business SP1
SIMSCI DYNSIM 5.2.1,Windows Vista Business SP2
SIMSCI DYNSIM 5.3,Windows Vista Business SP2
SIMSCI DYNSIM 5.3.1,Windows Vista Business SP2
SIMSCI DYNSIM 5.3.2,Windows Vista Business SP2
SIMSCI DYNSIM 5.2,Windows Vista Business SP2
SIMSCI DYNSIM 5.2,Windows Vista Business SP2 x64
SIMSCI DYNSIM 5.3.2,Windows Vista Business SP2 x64
SIMSCI DYNSIM 5.3.1,Windows Vista Business SP2 x64
SIMSCI DYNSIM 5.3,Windows Vista Business SP2 x64
SIMSCI DYNSIM 5.2.1,Windows Vista Business SP2 x64
SIMSCI DYNSIM 5.2.1,Windows Vista Enterprise SP2
SIMSCI DYNSIM 5.3,Windows Vista Enterprise SP2
SIMSCI DYNSIM 5.3.1,Windows Vista Enterprise SP2
SIMSCI DYNSIM 5.3.2,Windows Vista Enterprise SP2
SIMSCI DYNSIM 5.2,Windows Vista Enterprise SP2
SIMSCI DYNSIM 5.2,Windows Vista Enterprise SP2 x64
SIMSCI DYNSIM 5.3.2,Windows Vista Enterprise SP2 x64
SIMSCI DYNSIM 5.3.1,Windows Vista Enterprise SP2 x64
SIMSCI DYNSIM 5.3,Windows Vista Enterprise SP2 x64
SIMSCI DYNSIM 5.2.1,Windows Vista Enterprise SP2 x64
SIMSCI DYNSIM 5.1,Windows XP Professional SP2
SIMSCI TRISIM 2.2,Windows XP Professional SP2
SIMSCI TRISIM 2.2,Windows XP Professional SP3
SIMSCI DYNSIM 5.1,Windows XP Professional SP3
SIMSCI DYNSIM 5.1,Windows XP Professional SP3 x64
SIMSCI TRISIM 2.2,Windows Server 2008 R2 Standard SP1
SIMSCI TRISIM 3.0,Windows Server 2008 R2 Standard SP1
Citect Historian 2016,Windows Server 2008 R2 Standard SP1
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Standard SP1
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Standard SP1
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Enterprise SP1
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Enterprise SP1
Citect Historian 2016,Windows Server 2008 R2 Enterprise SP1
SIMSCI TRISIM 3.0,Windows Server 2008 R2 Enterprise SP1
SIMSCI DYNSIM 5.2,Windows Server 2008 R2 Enterprise SP1
Citect SCADA 2016,Windows Server 2008 R2 Enterprise SP1
SIMSCI DYNSIM 5.3.2,Windows Server 2008 R2 Enterprise SP1
SIMSCI TRISIM 3.1,Windows Server 2008 R2 Enterprise SP1
SIMSCI TRISIM 2.2,Windows Server 2008 R2 Enterprise SP1
SIMSCI DYNSIM 5.1,Windows Server 2008 R2 Enterprise SP1
SIMSCI DYNSIM 5.2.1,Windows Server 2008 R2 Enterprise SP1
SIMSCI DYNSIM 5.3,Windows Server 2008 R2 Enterprise SP1
SIMSCI DYNSIM 5.3.1,Windows Server 2008 R2 Enterprise SP1
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Embedded Compact
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Embedded Compact
Citect Historian 2016,Windows Server 2008 R2 Standard SP2 x64
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Standard SP2 x64
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Standard SP2 x64
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Enterprise SP2 x64
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Enterprise SP2 x64
Citect Historian 2016,Windows Server 2008 R2 Enterprise SP2 x64
SIMSCI TRISIM 3.1,Windows 10 Professional x64
SIMSCI SCP 3.0 1,Windows 10 Professional x64
SIMSCI SCP 2.0 1,Windows 10 Professional x64
SIMSCI DYNSIM 5.3.2,Windows 10 Professional x64
SIMSCI DYNSIM 5.3.1,Windows 10 Professional x64
SIMSCI DYNSIM 5.3,Windows 10 Professional x64
Wonderware Prometheus 2017 Update 1 x64,Windows 10 Professional x64
Avantis PRiSM Client 2018 R1,Windows 10 Professional x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Enterprise x64
